local_ts_ms,recv_iso_utc,msg_ts_ms,event_type,bid_price,bid_qty,ask_price,ask_qty,change,trade_price,trade_size,trade_side,trade_tx_hash
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992791,price_change,0.6,121.51,0.61,600.31,,,,,
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992792,price_change,0.6,121.51,0.61,600.31,,,,,
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992797,price_change,0.6,121.51,0.61,600.31,,,,,
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992798,price_change,0.6,121.51,0.61,721.31,,,,,
1772368992813,2026-03-01T12:43:12.813+00:00,1772368992799,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992814,2026-03-01T12:43:12.814+00:00,1772368992800,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992814,2026-03-01T12:43:12.814+00:00,1772368992800,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992816,2026-03-01T12:43:12.816+00:00,1772368992801,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992816,2026-03-01T12:43:12.816+00:00,1772368992802,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992816,2026-03-01T12:43:12.816+00:00,1772368992803,price_change,0.6,121.51,0.61,727.61,,,,,
1772368992817,2026-03-01T12:43:12.817+00:00,1772368992803,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992818,2026-03-01T12:43:12.818+00:00,1772368992808,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992818,2026-03-01T12:43:12.818+00:00,1772368992808,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992823,2026-03-01T12:43:12.823+00:00,1772368992813,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992840,2026-03-01T12:43:12.840+00:00,1772368992815,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992840,2026-03-01T12:43:12.840+00:00,1772368992819,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992840,2026-03-01T12:43:12.840+00:00,1772368992820,price_change,0.6,121.51,0.61,763.35,,,,,
1772368992840,2026-03-01T12:43:12.840+00:00,1772368992822,price_change,0.6,121.51,0.61,768.35,,,,,
1772368992840,2026-03-01T12:43:12.840+00:00,1772368992824,price_change,0.6,121.51,0.61,768.35,,,,,
1772368992850,2026-03-01T12:43:12.850+00:00,1772368992840,price_change,0.6,115.61,0.61,768.35,,,,,
1772368992851,2026-03-01T12:43:12.851+00:00,1772368992841,price_change,0.6,115.61,0.61,768.35,,,,,
1772368992862,2026-03-01T12:43:12.862+00:00,1772368992847,price_change,0.6,100.0,0.61,768.35,,,,,
1772368992862,2026-03-01T12:43:12.862+00:00,1772368992848,price_change,0.6,100.0,0.61,773.35,,,,,
1772368992888,2026-03-01T12:43:12.888+00:00,1772368992877,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992897,2026-03-01T12:43:12.897+00:00,1772368992887,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992900,2026-03-01T12:43:12.900+00:00,1772368992889,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992901,2026-03-01T12:43:12.901+00:00,1772368992890,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992929,2026-03-01T12:43:12.929+00:00,1772368992918,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992930,2026-03-01T12:43:12.930+00:00,1772368992919,price_change,0.6,100.0,0.61,807.22,,,,,
1772368992942,2026-03-01T12:43:12.942+00:00,1772368992933,best_bid_ask,0.6,100.0,0.61,807.22,no_change,,,,
